grant_id,org_city,cruz,status,org_name,org_state,state_party,award_type,nsf_total_budget,usaspending_obligated,usaspending_outlaid,estimated_budget,estimated_outlays,estimated_remaining
2411775,CHENEY,FALSE,❌ Terminated,Eastern Washington University,WA,D,Continuing Grant,357070,NA,NA,357070,397921.22881355934,-40851.22881355934
2411776,ELLENSBURG,FALSE,❌ Terminated,Central Washington University,WA,D,Continuing Grant,275682,74648,20428.48,275682,20428.48,255253.52
2411882,BOWIE,FALSE,❌ Terminated,Bowie State University,MD,D,Continuing Grant,954434,776588,0,954434,0,954434
2411883,COLLEGE PARK,FALSE,❌ Terminated,"University of Maryland, College Park",MD,D,Continuing Grant,855720,679917,15334,855720,15334,840386
2411884,PRINCESS ANNE,FALSE,❌ Terminated,University of Maryland Eastern Shore,MD,D,Continuing Grant,465621,NA,NA,465621,526648.995145631,-61027.99514563102
2411933,TAMPA,FALSE,❌ Terminated,University of South Florida,FL,R,Continuing Grant,1952569,741554,82657.49,1952569,82657.49,1869911.51
2411934,WEST POINT,FALSE,❌ Terminated,W1FB US MILITARY ACADEMY,NY,D,Interagency Agreement,395127,NA,NA,395127,440332.2076271186,-45205.20762711862
2411935,BLACKSBURG,FALSE,❌ Terminated,Virginia Polytechnic Institute and State University,VA,R,Continuing Grant,1900257,712744,43685.49,1900257,43685.49,1856571.51
2411941,MERCED,,🔄 Possibly Reinstated,University of California - Merced,CA,D,Continuing Grant,4500000,1568526,47677.24,4500000,47677.24,4452322.76
2411956,DALLAS,,🔄 Possibly Reinstated,Southern Methodist University,TX,R,Continuing Grant,2484019,2219872,12457.02,2484019,12457.02,2471561.98
2411987,TEMPE,FALSE,❌ Terminated,Arizona State University,AZ,D,Continuing Grant,2993321,733633,113101.21,2993321,113101.21,2880219.79
2411988,FAIRFAX,FALSE,❌ Terminated,George Mason University,VA,R,Continuing Grant,2000024,1188830,70288.26,2000024,70288.26,1929735.74
2411999,SAN DIEGO,FALSE,❌ Terminated,Reuben H. Fleet Science Center,CA,D,Continuing Grant,3730850,NA,NA,3730850,4320844.883720931,-589994.8837209307
2412193,ALBUQUERQUE,,❌ Terminated,University of New Mexico,NM,D,Standard Grant,1200000,1200000,45982.06,1200000,45982.06,1154017.94
2412346,CAMBRIDGE,,❌ Terminated,Harvard University,MA,D,Standard Grant,45000,45000,28777.98,45000,28777.98,16222.02
2412719,ANN ARBOR,FALSE,❌ Terminated,Regents of the University of Michigan - Ann Arbor,MI,D,Standard Grant,99509,NA,NA,99509,105685.42068965518,-6176.420689655177
